category,transactions,fraud_count,fraud_rate,avg_amount,median_amount,fraud_rate_percent
gas_transport,131659,618,0.004693944204346076,63.434571810510484,62.84,0.4693944204346076
grocery_pos,123638,1743,0.014097607531665023,116.96098594283312,105.12,1.4097607531665022
home,123115,198,0.0016082524468992406,58.27013856963002,48.29,0.16082524468992407
shopping_pos,116672,843,0.007225383982446517,79.77915532432803,7.76,0.7225383982446517
kids_pets,113035,239,0.0021143893484319018,57.536870526827975,47.18,0.21143893484319018
shopping_net,97543,1713,0.017561485703740914,88.4240763560686,8.44,1.7561485703740916
entertainment,94014,233,0.0024783542876592847,64.21042142659603,50.74,0.24783542876592848
food_dining,91461,151,0.0016509769191239982,51.08690523829829,42.03,0.1650976919123998
personal_care,90758,220,0.002424028735758831,47.96767811102052,32.585,0.2424028735758831
health_fitness,85879,133,0.0015486905995645036,54.18214022054285,42.85,0.15486905995645037
misc_pos,79655,250,0.003138534931893792,62.890998681815326,13.92,0.31385349318937916
misc_net,63287,915,0.014457945549638947,80.8650948852055,9.84,1.4457945549638946
grocery_net,45452,134,0.0029481650972454456,53.67008448473115,50.92,0.29481650972454454
travel,40507,116,0.0028637025699261858,111.50471967808032,6.26,0.2863702569926186
