model,class,precision,recall,f1-score,support
logistic_regression,0,0.9988906141736515,0.9401290523037571,0.9686194551747049,553574.0
logistic_regression,1,0.045145491212906945,0.7305361305361305,0.08503595170261836,2145.0
logistic_regression,accuracy,0.9393200520406896,0.9393200520406896,0.9393200520406896,0.9393200520406896
logistic_regression,macro avg,0.5220180526932793,0.8353325914199439,0.5268277034386617,555719.0
logistic_regression,weighted avg,0.9952092873002663,0.9393200520406897,0.9652089426405868,555719.0
random_forest,0,0.999664115412147,0.983873881360035,0.9917061481931967,553574.0
random_forest,1,0.18018183487923592,0.9146853146853147,0.3010587693724106,2145.0
random_forest,accuracy,0.9836068228727108,0.9836068228727108,0.9836068228727108,0.9836068228727108
random_forest,macro avg,0.5899229751456915,0.9492795980226748,0.6463824587828036,555719.0
random_forest,weighted avg,0.9965010249082357,0.9836068228727108,0.9890403429434741,555719.0
