merchant,transactions,fraud_count,fraud_rate,avg_amount,fraud_rate_percent
fraud_Rau and Sons,2490,49,0.01967871485943775,119.82119277108434,1.967871485943775
fraud_Cormier LLC,3649,48,0.013154288846259249,72.65824061386681,1.3154288846259248
fraud_Kozey-Boehm,1866,48,0.02572347266881029,98.23809753483387,2.572347266881029
fraud_Kilback LLC,4403,47,0.010674540086304793,88.82083806495572,1.0674540086304793
fraud_Doyle Ltd,2558,47,0.018373729476153244,117.65886239249413,1.8373729476153244
fraud_Vandervort-Funk,2474,47,0.018997574777687955,118.24696443007275,1.8997574777687956
fraud_Kuhn LLC,3510,44,0.012535612535612535,80.40089743589745,1.2535612535612535
fraud_Padberg-Welch,2424,44,0.018151815181518153,115.41913366336632,1.8151815181518154
fraud_Terry-Huel,1996,43,0.02154308617234469,93.28207414829659,2.154308617234469
fraud_Koepp-Witting,2437,42,0.01723430447271235,116.93435781698811,1.7234304472712352
fraud_Jast Ltd,1953,42,0.021505376344086023,90.38677931387609,2.1505376344086025
fraud_Goyette Inc,1943,42,0.02161605764282038,93.91263510036026,2.1616057642820383
fraud_McDermott-Weimann,2524,41,0.01624405705229794,116.93006735340728,1.624405705229794
fraud_Kiehn-Emmerich,2497,41,0.016419703644373247,116.58916299559472,1.6419703644373247
"fraud_Schmeler, Bashirian and Price",1968,41,0.020833333333333332,96.71839430894309,2.083333333333333
fraud_Kerluke-Abshire,1838,41,0.022306855277475515,98.03540261153428,2.2306855277475517
fraud_Boyer PLC,3493,40,0.011451474377326082,75.77466647580876,1.145147437732608
fraud_Murray-Smitham,2510,40,0.01593625498007968,118.31981274900397,1.593625498007968
fraud_Hudson-Ratke,2476,40,0.01615508885298869,116.60693053311793,1.615508885298869
"fraud_Moen, Reinger and Murphy",2378,40,0.01682085786375105,118.65550883095037,1.682085786375105
fraud_Gleason-Macejkovic,2033,40,0.019675356615838663,86.09371372356124,1.9675356615838662
fraud_Bailey-Morar,2430,39,0.016049382716049384,117.26150617283952,1.6049382716049383
"fraud_Kuhic, Bins and Pfeffer",2003,39,0.019470793809286072,93.27449326010984,1.9470793809286073
fraud_Kuhic LLC,1985,39,0.01964735516372796,88.86270528967255,1.964735516372796
"fraud_Langworth, Boehm and Gulgowski",1969,39,0.019807008633824275,88.26462671406804,1.9807008633824275
"fraud_Lockman, West and Runte",2505,38,0.015169660678642715,115.91673852295409,1.5169660678642716
fraud_Stracke-Lemke,2420,38,0.015702479338842976,116.37368595041323,1.5702479338842976
fraud_Price Inc,1983,38,0.019162884518406455,105.55078164397378,1.9162884518406456
"fraud_Baumbach, Feeney and Morar",1929,38,0.019699326075686883,84.05780196993261,1.9699326075686883
fraud_Boyer-Reichert,1908,38,0.019916142557651992,89.7331394129979,1.9916142557651992
fraud_Bradtke PLC,2552,37,0.014498432601880877,118.52713557993731,1.4498432601880877
"fraud_Schumm, Bauch and Ondricka",2512,37,0.014729299363057325,119.07449840764332,1.4729299363057324
fraud_Pacocha-O'Reilly,2549,36,0.014123185562965868,116.74553942722636,1.4123185562965868
fraud_Lockman Ltd,2492,36,0.014446227929373997,115.93411316211878,1.4446227929373996
"fraud_Goldner, Kovacek and Abbott",2471,36,0.014569000404694455,117.59843787940105,1.4569000404694454
"fraud_Mosciski, Gislason and Mertz",2457,36,0.014652014652014652,119.19806267806268,1.465201465201465
"fraud_Stanton, Jakubowski and Baumbach",1986,36,0.01812688821752266,91.71665156092648,1.812688821752266
fraud_Fisher-Schowalter,1970,36,0.018274111675126905,88.86978680203046,1.8274111675126905
fraud_Schmidt and Sons,1950,36,0.018461538461538463,86.33465128205128,1.8461538461538463
"fraud_Greenholt, O'Hara and Balistreri",1935,36,0.018604651162790697,88.51361757105944,1.8604651162790697
"fraud_Osinski, Ledner and Leuschke",2507,35,0.013960909453530115,117.36628639808538,1.3960909453530115
fraud_Strosin-Cruickshank,2459,35,0.014233428222854819,115.80410329402196,1.4233428222854818
fraud_Kunze Inc,2458,35,0.014239218877135883,116.48760781122863,1.4239218877135882
fraud_Auer-Mosciski,2455,35,0.014256619144602852,117.33614256619144,1.4256619144602851
fraud_Koepp-Parker,2406,35,0.014546965918536992,117.61106816292602,1.4546965918536992
"fraud_Schultz, Simonis and Little",2399,35,0.014589412255106295,118.82263443101292,1.4589412255106295
fraud_Fisher Inc,2041,35,0.0171484566389025,82.85207741303283,1.71484566389025
"fraud_Gottlieb, Considine and Schultz",2001,35,0.017491254372813594,92.237876061969,1.7491254372813594
"fraud_Mosciski, Ziemann and Farrell",1951,35,0.017939518195797026,86.93828805740647,1.7939518195797026
"fraud_Towne, Greenholt and Koepp",1944,35,0.01800411522633745,93.08869341563786,1.800411522633745
"fraud_Labadie, Treutel and Bode",1920,35,0.018229166666666668,92.06815104166667,1.8229166666666667
"fraud_Schoen, Kuphal and Nitzsche",2467,34,0.013781921361978111,117.02270774219701,1.3781921361978111
fraud_Kiehn Inc,2452,34,0.013866231647634585,116.17066884176182,1.3866231647634584
fraud_Barton Inc,2447,34,0.013894564773191663,115.31311401716387,1.3894564773191664
"fraud_Heathcote, Yost and Kertzmann",1956,34,0.017382413087934562,72.49698364008181,1.738241308793456
"fraud_Streich, Dietrich and Barton",1949,34,0.017444843509492047,89.62656233966138,1.7444843509492047
fraud_Rempel Inc,1934,34,0.017580144777662874,92.87365563598759,1.7580144777662874
fraud_Bauch-Raynor,2513,33,0.013131715081575806,117.67656187823319,1.3131715081575805
"fraud_Huel, Hammes and Witting",2433,33,0.013563501849568433,116.17893958076448,1.3563501849568433
fraud_Mohr-Bayer,1992,33,0.016566265060240965,81.42932730923695,1.6566265060240966
fraud_Medhurst PLC,1974,33,0.016717325227963525,85.70228976697062,1.6717325227963524
"fraud_Little, Gutmann and Lynch",1971,33,0.0167427701674277,81.96564180618975,1.67427701674277
fraud_Kassulke PLC,1952,33,0.016905737704918034,82.47183913934427,1.6905737704918034
"fraud_Romaguera, Cruickshank and Greenholt",1939,33,0.01701908200103146,83.14331614234142,1.701908200103146
"fraud_Reichert, Rowe and Mraz",1904,33,0.017331932773109245,82.39822478991597,1.7331932773109244
"fraud_Herman, Treutel and Dickens",1300,33,0.025384615384615384,87.06186923076922,2.5384615384615383
fraud_Goodwin-Nitzsche,2542,32,0.012588512981904013,117.26330055074745,1.2588512981904012
"fraud_Casper, Hand and Zulauf",2514,32,0.012728719172633254,115.97480509148765,1.2728719172633254
fraud_Deckow-O'Conner,2483,32,0.01288763592428514,116.79159887233185,1.288763592428514
fraud_Miller-Hauck,2463,32,0.012992285830288266,115.9416077953715,1.2992285830288266
fraud_O'Keefe-Hudson,2439,32,0.013120131201312012,115.7941410414104,1.3120131201312013
fraud_Wolf Inc,2394,32,0.013366750208855471,115.99823308270678,1.3366750208855471
fraud_Heathcote LLC,1976,32,0.016194331983805668,89.7635576923077,1.6194331983805668
fraud_Lemke-Gutmann,1953,32,0.01638504864311316,98.89532002048131,1.638504864311316
fraud_Stamm-Witting,1877,32,0.017048481619605753,87.80255194459244,1.7048481619605753
fraud_Schumm PLC,3634,31,0.0085305448541552,70.5179829389103,0.8530544854155201
fraud_Cole PLC,2488,31,0.012459807073954984,115.877672829582,1.2459807073954985
fraud_Heidenreich PLC,2434,31,0.012736236647493838,117.89270747740345,1.2736236647493837
"fraud_Zboncak, Rowe and Murazik",2017,31,0.015369360436291522,94.91550818046603,1.5369360436291521
fraud_DuBuque LLC,2491,30,0.01204335608189482,117.53837816138096,1.204335608189482
fraud_Schamberger-O'Keefe,2485,30,0.012072434607645875,116.88664386317907,1.2072434607645874
fraud_Kuhic Inc,2434,30,0.012325390304026294,117.10129005751848,1.2325390304026294
fraud_Gerlach Inc,1948,30,0.015400410677618069,90.18390143737166,1.5400410677618068
fraud_Ankunding LLC,1923,30,0.015600624024960999,84.01501300052001,1.5600624024960998
fraud_Rutherford-Mertz,2489,29,0.011651265568501407,116.42073523503416,1.1651265568501405
"fraud_Kihn, Abernathy and Douglas",1888,29,0.015360169491525424,90.35697033898305,1.5360169491525424
fraud_Hackett-Lueilwitz,2568,28,0.010903426791277258,116.90348130841122,1.0903426791277258
fraud_Bogisich Inc,2439,28,0.011480114801148012,115.1951332513325,1.1480114801148011
fraud_Cartwright-Harris,2410,28,0.011618257261410789,116.87814937759337,1.161825726141079
fraud_Volkman-Predovic,1949,28,0.014366341713699333,86.5088917393535,1.4366341713699333
fraud_Bashirian Group,1930,28,0.014507772020725389,90.5209481865285,1.450777202072539
