model,class,precision,recall,f1-score,support
logistic_regression_default_0_50,0,0.9988906141736515,0.9401290523037571,0.9686194551747049,553574.0
logistic_regression_default_0_50,1,0.045145491212906945,0.7305361305361305,0.08503595170261836,2145.0
logistic_regression_default_0_50,accuracy,0.9393200520406896,0.9393200520406896,0.9393200520406896,0.9393200520406896
logistic_regression_default_0_50,macro avg,0.5220180526932793,0.8353325914199439,0.5268277034386617,555719.0
logistic_regression_default_0_50,weighted avg,0.9952092873002663,0.9393200520406897,0.9652089426405868,555719.0
logistic_regression_tuned_f1,0,0.9987047366755274,0.9861355482735822,0.9923803446887376,553574.0
logistic_regression_tuned_f1,1,0.15770412642669007,0.66993006993007,0.25530780847472684,2145.0
logistic_regression_tuned_f1,accuracy,0.9849150379958216,0.9849150379958216,0.9849150379958216,0.9849150379958216
logistic_regression_tuned_f1,macro avg,0.5782044315511088,0.8280328091018261,0.6238440765817322,555719.0
logistic_regression_tuned_f1,weighted avg,0.9954585883361979,0.9849150379958216,0.989535344625434,555719.0
logistic_regression_high_recall_0_90,0,0.9990414818642092,0.7474773020409196,0.8551420555822496,553574.0
logistic_regression_high_recall_0_90,1,0.012350040271870451,0.8149184149184149,0.024331340520451272,2145.0
logistic_regression_high_recall_0_90,accuracy,0.7477376155934924,0.7477376155934924,0.7477376155934924,0.7477376155934924
logistic_regression_high_recall_0_90,macro avg,0.5056957610680398,0.7811978584796673,0.43973669805135046,555719.0
logistic_regression_high_recall_0_90,weighted avg,0.995232986667508,0.7477376155934924,0.8519352388568766,555719.0
random_forest_default_0_50,0,0.999664115412147,0.983873881360035,0.9917061481931967,553574.0
random_forest_default_0_50,1,0.18018183487923592,0.9146853146853147,0.3010587693724106,2145.0
random_forest_default_0_50,accuracy,0.9836068228727108,0.9836068228727108,0.9836068228727108,0.9836068228727108
random_forest_default_0_50,macro avg,0.5899229751456915,0.9492795980226748,0.6463824587828036,555719.0
random_forest_default_0_50,weighted avg,0.9965010249082357,0.9836068228727108,0.9890403429434741,555719.0
random_forest_tuned_f1,0,0.999664115412147,0.983873881360035,0.9917061481931967,553574.0
random_forest_tuned_f1,1,0.18018183487923592,0.9146853146853147,0.3010587693724106,2145.0
random_forest_tuned_f1,accuracy,0.9836068228727108,0.9836068228727108,0.9836068228727108,0.9836068228727108
random_forest_tuned_f1,macro avg,0.5899229751456915,0.9492795980226748,0.6463824587828036,555719.0
random_forest_tuned_f1,weighted avg,0.9965010249082357,0.9836068228727108,0.9890403429434741,555719.0
random_forest_high_recall_0_90,0,0.999664115412147,0.983873881360035,0.9917061481931967,553574.0
random_forest_high_recall_0_90,1,0.18018183487923592,0.9146853146853147,0.3010587693724106,2145.0
random_forest_high_recall_0_90,accuracy,0.9836068228727108,0.9836068228727108,0.9836068228727108,0.9836068228727108
random_forest_high_recall_0_90,macro avg,0.5899229751456915,0.9492795980226748,0.6463824587828036,555719.0
random_forest_high_recall_0_90,weighted avg,0.9965010249082357,0.9836068228727108,0.9890403429434741,555719.0
hist_gradient_boosting_default_0_50,0,0.9998697285951238,0.9844122014400966,0.9920807580626075,553574.0
hist_gradient_boosting_default_0_50,1,0.19377744557600673,0.9668997668997669,0.32285180572851807,2145.0
hist_gradient_boosting_default_0_50,accuracy,0.9843446058169687,0.9843446058169687,0.9843446058169687,0.9843446058169687
hist_gradient_boosting_default_0_50,macro avg,0.5968235870855653,0.9756559841699317,0.6574662818955628,555719.0
hist_gradient_boosting_default_0_50,weighted avg,0.9967583216663053,0.9843446058169687,0.9894976250353823,555719.0
hist_gradient_boosting_tuned_f1,0,0.9997055316426244,0.9935112559477143,0.9965987688884298,553574.0
hist_gradient_boosting_tuned_f1,1,0.355695067264574,0.9244755244755245,0.5137305699481866,2145.0
hist_gradient_boosting_tuned_f1,accuracy,0.9932447873835517,0.9932447873835517,0.9932447873835517,0.9932447873835517
hist_gradient_boosting_tuned_f1,macro avg,0.6777002994535992,0.9589933902116194,0.7551646694183082,555719.0
hist_gradient_boosting_tuned_f1,weighted avg,0.9972197385599856,0.9932447873835517,0.9947349631039833,555719.0
hist_gradient_boosting_high_recall_0_90,0,0.9997055316426244,0.9935112559477143,0.9965987688884298,553574.0
hist_gradient_boosting_high_recall_0_90,1,0.355695067264574,0.9244755244755245,0.5137305699481866,2145.0
hist_gradient_boosting_high_recall_0_90,accuracy,0.9932447873835517,0.9932447873835517,0.9932447873835517,0.9932447873835517
hist_gradient_boosting_high_recall_0_90,macro avg,0.6777002994535992,0.9589933902116194,0.7551646694183082,555719.0
hist_gradient_boosting_high_recall_0_90,weighted avg,0.9972197385599856,0.9932447873835517,0.9947349631039833,555719.0
