model,threshold,precision,recall,f1_score
logistic_regression,0.01,0.17782253287525174,1.0,0.30195131764232547
logistic_regression,0.02,0.19169859514687101,1.0,0.32172328796484834
logistic_regression,0.03,0.19799498746867167,1.0,0.3305439330543933
logistic_regression,0.04,0.20188298587760592,1.0,0.33594449418084155
logistic_regression,0.05,0.20578557718672882,1.0,0.3413303013075611
logistic_regression,0.06,0.21013579728405432,1.0,0.34729291994447015
logistic_regression,0.07,0.21421435707149994,1.0,0.3528443817583451
logistic_regression,0.08,0.21797850711588732,1.0,0.3579348992488375
logistic_regression,0.09,0.22251891410769917,0.9993337774816788,0.36398932297985925
logistic_regression,0.1,0.22698364627498485,0.9986675549633578,0.369895126465145
logistic_regression,0.11,0.23184141242062878,0.9973351099267155,0.3762251822065846
logistic_regression,0.12,0.23740664230096933,0.9953364423717521,0.3833718244803695
logistic_regression,0.13,0.24303632513438672,0.9940039973351099,0.39057591623036647
logistic_regression,0.14,0.2490376569037657,0.9913391072618255,0.39807383627608345
logistic_regression,0.15,0.255377731887799,0.988674217188541,0.4059080962800875
logistic_regression,0.16,0.26193845065440396,0.9866755496335776,0.41397624039133474
logistic_regression,0.17,0.26895043731778423,0.983344437041972,0.4223780226069538
logistic_regression,0.18,0.27535687453042823,0.9766822118587608,0.4295970695970696
logistic_regression,0.19,0.2819868573637418,0.972018654230513,0.43715355805243444
logistic_regression,0.2,0.28764670777799883,0.9633577614923384,0.4430147058823529
logistic_regression,0.21,0.2958007410456978,0.9573617588274483,0.45195785500864916
logistic_regression,0.22,0.3030238500851789,0.9480346435709527,0.45925447797321284
logistic_regression,0.23,0.31028407839682887,0.938707528314457,0.46640185369083087
logistic_regression,0.24,0.3180059185067152,0.9307128580946036,0.4740413980318968
logistic_regression,0.25,0.323943661971831,0.9193870752831446,0.47908349244922754
logistic_regression,0.26,0.3316388283708545,0.9127248500999334,0.4865056818181818
logistic_regression,0.27,0.34059604307538194,0.9060626249167222,0.4950855478704041
logistic_regression,0.28,0.34762275915822294,0.8914057295136576,0.5001869158878505
logistic_regression,0.29,0.35319262623563985,0.8807461692205196,0.5041952707856598
logistic_regression,0.3,0.3592072667217176,0.8694203864090606,0.5083755356447215
logistic_regression,0.31,0.3676428774523742,0.8614257161892072,0.515344758868075
logistic_regression,0.32,0.3733955659276546,0.8527648234510327,0.5193751268005681
logistic_regression,0.33,0.3800360793746242,0.8421052631578947,0.5237207375181272
logistic_regression,0.34,0.38909541511771994,0.8367754830113258,0.5311905265383802
logistic_regression,0.35,0.39605221267112384,0.8287808127914723,0.5359758724687634
logistic_regression,0.36,0.4038777522182057,0.8187874750166556,0.5409330985915493
logistic_regression,0.37,0.4105084745762712,0.8067954696868754,0.5441473826106493
logistic_regression,0.38,0.41698706745893044,0.7948034643570953,0.5469967904630904
logistic_regression,0.39,0.4251883745963401,0.7894736842105263,0.5527052238805971
logistic_regression,0.4,0.4359542266519011,0.7868087941372418,0.5610451306413302
logistic_regression,0.41,0.4446564885496183,0.776149233844104,0.565396748362048
logistic_regression,0.42,0.4547945205479452,0.7741505662891406,0.5729783037475346
logistic_regression,0.43,0.46535052377115227,0.7694870086608927,0.5799648506151143
logistic_regression,0.44,0.4820083682008368,0.7674883411059293,0.5921356977640709
logistic_regression,0.45,0.49459108610990915,0.7614923384410394,0.5996852046169989
logistic_regression,0.46,0.5094001790510295,0.7581612258494337,0.6093708165997322
logistic_regression,0.47,0.5240073868882733,0.7561625582944703,0.6190346332151623
logistic_regression,0.48,0.5395614871306006,0.754163890739507,0.6290636287857738
logistic_regression,0.49,0.5560493827160494,0.7501665556295802,0.6386840612592173
logistic_regression,0.5,0.573394495412844,0.7495003331112592,0.6497256713831938
logistic_regression,0.51,0.5934530095036958,0.748834110592938,0.6621502209131075
logistic_regression,0.52,0.6127799016930638,0.7475016655562958,0.673469387755102
logistic_regression,0.53,0.6322033898305085,0.7455029980013325,0.6841944359523081
logistic_regression,0.54,0.6469221835075494,0.7421718854097269,0.6912814148309029
logistic_regression,0.55,0.6638805970149254,0.7408394403730846,0.7002518891687658
logistic_regression,0.56,0.6843730697961705,0.7381745502998002,0.7102564102564103
logistic_regression,0.57,0.699429296131896,0.7348434377081945,0.7166991552956465
logistic_regression,0.58,0.7201834862385321,0.7321785476349101,0.7261314833168153
logistic_regression,0.59,0.7365951742627346,0.7321785476349101,0.7343802205145339
logistic_regression,0.6,0.7517099863201094,0.7321785476349101,0.7418157273034087
logistic_regression,0.61,0.7698245614035087,0.7308461025982678,0.7498291182501708
logistic_regression,0.62,0.7837643678160919,0.7268487674883412,0.7542343587970964
logistic_regression,0.63,0.7983870967741935,0.7255163224516988,0.7602094240837697
logistic_regression,0.64,0.812874251497006,0.7235176548967355,0.7655974621078604
logistic_regression,0.65,0.8287461773700305,0.7221852098600933,0.7718049127803489
logistic_regression,0.66,0.8382352941176471,0.7215189873417721,0.7755102040816326
logistic_regression,0.67,0.8497246262785209,0.7195203197868087,0.7792207792207793
logistic_regression,0.68,0.8555555555555555,0.7181878747501665,0.7808764940239044
logistic_regression,0.69,0.8651050080775444,0.7135243171219188,0.7820372398685652
logistic_regression,0.7,0.8763396537510305,0.7081945369753497,0.7833456153279292
logistic_regression,0.71,0.8851634534786254,0.703530979347102,0.7839643652561247
logistic_regression,0.72,0.8861720067453626,0.7001998667554963,0.7822850762932638
logistic_regression,0.73,0.8922155688622755,0.6948700866089274,0.7812734082397004
logistic_regression,0.74,0.8987012987012987,0.6915389740173218,0.7816265060240963
logistic_regression,0.75,0.9025460930640913,0.6848767488341105,0.7787878787878788
logistic_regression,0.76,0.9057777777777778,0.6788807461692206,0.776085300837776
logistic_regression,0.77,0.9095840867992767,0.670219853431046,0.7717683160721135
logistic_regression,0.78,0.9127640036730946,0.6622251832111925,0.7675675675675676
logistic_regression,0.79,0.9159663865546218,0.653564290473018,0.7628304821150855
logistic_regression,0.8,0.9163498098859315,0.642238507661559,0.755189972581277
logistic_regression,0.81,0.9164265129682997,0.6355762824783477,0.7505900865460268
logistic_regression,0.82,0.9174757281553398,0.6295802798134577,0.7467404188067958
logistic_regression,0.83,0.9173228346456693,0.6209193870752832,0.7405641636869289
logistic_regression,0.84,0.9159919028340081,0.6029313790806129,0.7271996785857774
logistic_regression,0.85,0.9148494288681205,0.5869420386409061,0.7150974025974026
logistic_regression,0.86,0.9160467587672688,0.5742838107928048,0.7059787059787059
logistic_regression,0.87,0.9140369967355821,0.5596269153897402,0.6942148760330579
logistic_regression,0.88,0.9137737961926092,0.5436375749500333,0.681704260651629
logistic_regression,0.89,0.9150401836969001,0.5309793471019321,0.6720067453625632
logistic_regression,0.9,0.919526627218935,0.5176548967355097,0.6624040920716112
logistic_regression,0.91,0.9190821256038647,0.5069953364423717,0.6534993559467582
logistic_regression,0.92,0.9195544554455446,0.4950033311125916,0.6435686444348203
logistic_regression,0.93,0.919496855345912,0.4870086608927382,0.6367595818815331
logistic_regression,0.94,0.9205729166666666,0.4710193204530313,0.623182018510357
logistic_regression,0.95,0.9180327868852459,0.44770153231179216,0.6018808777429467
logistic_regression,0.96,0.9232954545454546,0.4330446369087275,0.5895691609977324
logistic_regression,0.97,0.9347496206373292,0.4103930712858095,0.5703703703703704
logistic_regression,0.98,0.9450915141430949,0.37841439040639574,0.5404376784015223
logistic_regression,0.99,0.9430523917995444,0.27581612258494337,0.4268041237113402
random_forest,0.01,0.1666296625222025,1.0,0.28565991055285944
random_forest,0.02,0.1670933986418791,1.0,0.28634109118657003
random_forest,0.03,0.16937485894831866,1.0,0.2896844543085979
random_forest,0.04,0.17494172494172494,1.0,0.29778791786529113
random_forest,0.05,0.18514863698038733,1.0,0.3124479600333056
random_forest,0.06,0.20045405982905984,1.0,0.33396373345199687
random_forest,0.07,0.21995896834701056,1.0,0.3606006006006006
random_forest,0.08,0.23946360153256704,0.9993337774816788,0.386349001931745
random_forest,0.09,0.26413100898045433,0.9993337774816788,0.4178272980501393
random_forest,0.1,0.28946352759552296,0.9993337774816788,0.4489001945234176
random_forest,0.11,0.3169237270230298,0.9993337774816788,0.48123195380173245
random_forest,0.12,0.3423155971683033,0.9986675549633578,0.5098639455782313
random_forest,0.13,0.37003209084176747,0.9986675549633578,0.5399855907780979
random_forest,0.14,0.40010683760683763,0.9980013324450366,0.571210676835081
random_forest,0.15,0.4251497005988024,0.9933377748167888,0.5954472843450479
random_forest,0.16,0.4499243570347958,0.9906728847435043,0.6188098210570121
random_forest,0.17,0.4729643765903308,0.9906728847435043,0.6402583423035522
random_forest,0.18,0.4894459102902375,0.988674217188541,0.6547540260313258
random_forest,0.19,0.5068493150684932,0.9860093271152565,0.6695317801402397
random_forest,0.2,0.5228318584070797,0.9840106595602931,0.6828478964401294
random_forest,0.21,0.5379285193289569,0.9826782145236509,0.6952627857647891
random_forest,0.22,0.5586337760910816,0.9806795469686875,0.7117988394584139
random_forest,0.23,0.5813217253660466,0.9786808794137242,0.7293942403177756
random_forest,0.24,0.601639344262295,0.978014656895403,0.7449885815782796
random_forest,0.25,0.6222410865874364,0.9766822118587608,0.7601763028260305
random_forest,0.26,0.639337112952464,0.9766822118587608,0.7727991565629942
random_forest,0.27,0.6605049594229035,0.9760159893404398,0.7878461952137671
random_forest,0.28,0.6821994408201305,0.9753497668221186,0.8028516588977241
random_forest,0.29,0.6973307912297426,0.9746835443037974,0.8130036121144762
random_forest,0.3,0.7140762463343109,0.9733510992671552,0.8237947561319425
random_forest,0.31,0.7305958938407612,0.972018654230513,0.834190966266438
random_forest,0.32,0.7431192660550459,0.9713524317121919,0.8420444701126191
random_forest,0.33,0.7553136340072576,0.9706862091938707,0.8495626822157435
random_forest,0.34,0.7727514635444386,0.9673550966022652,0.8591715976331361
random_forest,0.35,0.7882416984213392,0.9646902065289806,0.8675853804673457
random_forest,0.36,0.7974613686534217,0.9626915389740173,0.872321159070329
random_forest,0.37,0.811586051743532,0.9613590939373751,0.8801463860933212
random_forest,0.38,0.8248425872925015,0.9600266489007329,0.8873152709359606
random_forest,0.39,0.8345908299477656,0.9580279813457695,0.892059553349876
random_forest,0.4,0.8432527990571597,0.9533644237175216,0.8949343339587242
random_forest,0.41,0.8516746411483254,0.9487008660892738,0.8975732745036243
random_forest,0.42,0.8598300970873787,0.944037308461026,0.8999682438869482
random_forest,0.43,0.8717632552404438,0.9420386409060626,0.9055395453089977
random_forest,0.44,0.8813241723922548,0.9400399733510992,0.9097356544165055
random_forest,0.45,0.8885370487650411,0.9347101932045303,0.9110389610389611
random_forest,0.46,0.8985879332477535,0.9327115256495669,0.9153318077803204
random_forest,0.47,0.9047310434219054,0.9300466355762825,0.9172141918528253
random_forest,0.48,0.9108781127129751,0.9260493004663558,0.918401057152296
random_forest,0.49,0.9188290086493679,0.9200532978014657,0.9194407456724367
random_forest,0.5,0.9265003371544167,0.9153897401732178,0.920911528150134
random_forest,0.51,0.927891156462585,0.9087275149900067,0.9182093571188152
random_forest,0.52,0.9346629986244842,0.905396402398401,0.9197969543147209
random_forest,0.53,0.9380222841225627,0.8974017321785477,0.9172625127681308
random_forest,0.54,0.9403927068723703,0.893404397068621,0.9162965493679536
random_forest,0.55,0.9460610361958836,0.8880746169220519,0.9161512027491409
random_forest,0.56,0.9498567335243553,0.8834110592938041,0.9154297549188816
random_forest,0.57,0.9568397951719093,0.871419053964024,0.9121338912133892
random_forest,0.58,0.9629080118694362,0.8647568287808128,0.9111969111969112
random_forest,0.59,0.9654395191585274,0.8560959360426382,0.9074858757062146
random_forest,0.6,0.9681093394077449,0.8494337108594271,0.9048970901348474
random_forest,0.61,0.9701378254211332,0.844103930712858,0.9027431421446384
random_forest,0.62,0.970679012345679,0.8381079280479681,0.899535216303182
random_forest,0.63,0.9719407638347622,0.8307794803464357,0.8958333333333334
random_forest,0.64,0.9725274725274725,0.8254497001998667,0.892972972972973
random_forest,0.65,0.9731437598736177,0.820786142571619,0.8904951210697506
random_forest,0.66,0.9752791068580542,0.8147901399067289,0.8878402903811252
random_forest,0.67,0.9783480352846833,0.8127914723517655,0.8879184861717613
random_forest,0.68,0.9789644012944984,0.8061292471685543,0.8841797588600657
random_forest,0.69,0.9818930041152263,0.7948034643570953,0.8784977908689249
random_forest,0.7,0.9816207184628237,0.7828114590273151,0.8710155670867309
random_forest,0.71,0.9840201850294366,0.7794803464357095,0.8698884758364313
random_forest,0.72,0.985593220338983,0.7748167888074617,0.8675867213726222
random_forest,0.73,0.986336464560205,0.7694870086608927,0.8645209580838323
random_forest,0.74,0.9887640449438202,0.7621585609593604,0.8607975921745673
random_forest,0.75,0.9895196506550218,0.7548301132578281,0.8563869992441421
random_forest,0.76,0.990325417766051,0.7501665556295802,0.8536770280515542
random_forest,0.77,0.9919928825622776,0.7428381079280479,0.8495238095238096
random_forest,0.78,0.9927536231884058,0.7301798800799467,0.8414587332053742
random_forest,0.79,0.9944547134935305,0.7168554297135243,0.8331397599690282
random_forest,0.8,0.9962335216572504,0.7048634243837442,0.8255950058525166
random_forest,0.81,0.99712368168744,0.692871419053964,0.8176100628930818
random_forest,0.82,0.9970845481049563,0.6835443037974683,0.8110671936758893
random_forest,0.83,0.9980237154150198,0.6728847435043305,0.8038201352964585
random_forest,0.84,0.9979777553083923,0.6575616255829447,0.7927710843373494
random_forest,0.85,0.9989626556016598,0.6415722851432378,0.7813387423935091
random_forest,0.86,1.0,0.6302465023317788,0.7731916632611361
random_forest,0.87,1.0,0.608927381745503,0.756935817805383
random_forest,0.88,1.0,0.5829447035309794,0.7365319865319865
random_forest,0.89,1.0,0.564290473017988,0.721465076660988
random_forest,0.9,1.0,0.5329780146568954,0.6953498478922208
random_forest,0.91,1.0,0.5016655562958028,0.6681455190771961
random_forest,0.92,1.0,0.4696868754163891,0.6391659111514053
random_forest,0.93,1.0,0.4290473017988008,0.6004662004662005
random_forest,0.94,1.0,0.38507661558960693,0.556036556036556
random_forest,0.95,1.0,0.3217854763491006,0.48689516129032256
random_forest,0.96,1.0,0.24650233177881412,0.39551042223409943
random_forest,0.97,1.0,0.1558960692871419,0.2697406340057637
random_forest,0.98,1.0,0.06329113924050633,0.11904761904761904
random_forest,0.99,1.0,0.013990672884743505,0.02759526938239159
hist_gradient_boosting,0.01,0.5701254275940707,0.9993337774816788,0.7260406582768635
hist_gradient_boosting,0.02,0.6513243595310465,0.9993337774816788,0.7886435331230284
hist_gradient_boosting,0.03,0.6960556844547564,0.9993337774816788,0.8205689277899344
hist_gradient_boosting,0.04,0.7274052478134111,0.9973351099267155,0.8412475414442259
hist_gradient_boosting,0.05,0.7525150905432596,0.9966688874083944,0.8575523072513614
hist_gradient_boosting,0.06,0.7678479712378018,0.9960026648900733,0.867169373549884
hist_gradient_boosting,0.07,0.7806788511749347,0.9960026648900733,0.8752927400468384
